"time","geo","PRI","GAS","DEP","CON","INF","EMI","MAR","REN","GDP","OIL"
2000,"AT",0.0949,7.8,65.5,792,74.28,100,55.3,25.63,6330,30
2000,"BE",0.1171,7.44,78.2,926,72.66,100,91.1,1.35,6030,30
2000,"CY",0.0845,9.04,98.6,253,73.63,100,99.6,2.88,3660,30
2000,"CZ",0.0475,3.57,22.7,628,73,100,69.2,5.66,1470,30
2000,"DE",0.1191,6.93,59.4,795,78.5,100,34,3.94,6320,30
2000,"DK",0.0718,8.95,-35.9,790,76.2,100,36,11.03,7980,30
2000,"EL",0.0564,9.04,69.1,422,69.4,100,97,7.14,3080,30
2000,"ES",0.0895,9.15,76.8,297,69.93,100,42.4,8.17,3800,30
2000,"FI",0.0645,7.74,55.5,868,75.22,100,23.3,29.79,6140,30
2000,"FR",0.0928,6.99,51.2,668,77.43,100,90.2,9.9,5980,30
2000,"HU",0.0622,2.97,55,549,49.66,100,41.3,4.87,1120,30
2000,"IE",0.0795,7.28,85.4,658,74.8,100,97,2.08,6760,30
2000,"IT",0.15,8.79,86.5,485,73.2,100,46.7,5.45,5100,30
2000,"LU",0.1056,5.68,99.6,1072,68.46,100,61.5,4.53,12970,30
2000,"MT",0.0609,8.92,100.2,196,70.58,100,100,0,2540,30
2000,"NL",0.0938,5.62,38.3,680,72.83,100,61.6,1.59,6870,30
2000,"NO",0.072,7.74,-723.1,852,76,100,30.6,61.85,10020,30
2000,"PT",0.1194,9.18,85.3,274,71.78,100,58.5,19.45,2970,30
2000,"SE",0.0637,7.63,39.3,823,78.83,100,49.5,43.2,7660,30
2000,"SI",0.083,5.52,52.8,568,59.52,100,50.7,16.61,2570,30
2000,"UK",0.1056,6.65,-17.1,732,71.9,100,20.6,0.77,7490,30
2000.5,"AT",0.0952,7.98,65.3,812,74.78,101,55.3,25.19,6690,27.64
2000.5,"BE",0.1168,8.29,79.4,944,74.35,100.7,91.8,1.42,6090,27.64
2000.5,"CZ",0.048,3.61,23.9,657,74.3,98.8,69.6,5.82,1680,27.64
2000.5,"DE",0.12,8.01,60.2,822,79.2,99.8,31.5,4.05,6530,27.64
2000.5,"DK",0.0716,9.67,-32.3,812,77.5,100,36,11.23,8220,27.64
2000.5,"EL",0.0554,9.22,68.8,431,69.83,99.7,97.5,6.81,3450,27.64
2000.5,"ES",0.0895,10.25,75.8,304,71.42,98.9,43.1,8.72,3920,27.64
2000.5,"FI",0.0644,7.98,55.4,904,76.73,103.7,23.1,28.65,6580,27.64
