"","log.GAS.","DEP","log.CON.","REN","log.GDP.","log.OIL.","MAR","EUEA","EUEFTA","EUEU","V11"
"s0",0,0,0,0,0,0,0,0,0,0,0.0278488102775239
"s1",0.00492791739264591,0,0,0,0.00208932901390408,0,0,0,0,0,0.0253747987292046
"s2",0.00922752684866171,0,0,0,0.00420179681435685,0,0,0,0,0,0.0231205715479811
"s3",0.0131451097837208,0,0,0,0.00612661222104768,0,0,0,0,0,0.0210666036964492
"s4",0.015620038294366,0,0,0,0.00790750096974155,0.002416321160139,0,0,0,0,0.0191951046877125
"s5",0.0170187056892462,0,0,0,0.0095514058467311,0.00648828595619516,0,0,0,0,0.0174898644926969
"s6",0.0183015639131985,0,0,0,0.0110489312507944,0.0101922269597214,0,0,0,0,0.0159361131366329
"s7",0.0194647592138299,0,0,0,0.0124136530858156,0.0135713559515102,0,0,0,0,0.0145203927686008
"s8",0.0205246143135749,0,0,0,0.0136571370002977,0.0166502962584044,0,0,0,0,0.0132304410960641
"s9",0.0214903148028051,0,0,0,0.0147901532312857,0.0194557119980293,0,0,0,0,0.0120550851747579
"s10",0.0223702251222263,0,0,0,0.015822515423126,0.0220119023356203,0,0,0,0,0.0109841446339911
"s11",0.0232233777671815,0,0,-7.94169072142732e-05,0.0168501859081777,0.0254272642479411,0,0,0,0,0.0100083434991456
"s12",0.0240174764710132,0,0,-0.000165048092588546,0.0178006212055093,0.0287147490763449,0,0,0,0,0.00911922984762222
"s13",0.0245460625536178,0,0,-0.000238085801071518,0.0185884173642277,0.0319382091618748,0,0.000459092140906626,0,0,0.00830910260233003
"s14",0.0248943823537581,0,0,-0.000300557956501189,0.0192419376007565,0.0350393294423687,0,0.00123486972935477,0,0,0.00757094482864139
"s15",0.0252065178976688,0,0,-0.000357494385830841,0.0198375867909684,0.0378693605021105,0,0.0019425847199764,0,0,0.00689836295706091
"s16",0.02549092351678,0,0,-0.000409372688905744,0.0203803190880481,0.0404479807594526,0,0.00258742943031327,0,0,0.00628553140518522
"s17",0.0257500633287841,0,0,-0.000456642266542059,0.0208748365442232,0.0427975234962929,0,0.00317498791258367,0,0,0.00572714211929525
"s18",0.0259915517777744,0,0,-0.000499766862174268,0.0213266475305877,0.0449327819306679,0,0.00370808688769164,0,0,0.00521835859853431
"s19",0.0262062085136462,0,0,-0.00053900614318954,0.0217370971060977,0.0468839138019859,0,0.00419608966294213,0,0,0.00475477400345146
"s20",0.0264018043580304,0,0,-0.000574759441797734,0.0221110821372605,0.0486617060073175,0,0.00464073921319634,0,0,0.00433237298606648
