"","log.GAS.","DEP","log.CON.","REN","log.GDP.","log.OIL.","MAR","EUEA","EUEFTA","EUEU","V11"
"s0",4.86303142225602e-37,6.98601523791629e-41,9.79640165206935e-38,-2.29615511222215e-39,2.46117456080899e-37,5.73702239475534e-37,-1.57341528951272e-39,1.85406791521288e-37,7.45667083128912e-38,-1.2598237714705e-37,179.63847854604
"s1",0.000921615274491655,1.33780415700886e-07,0.000185291141162185,-4.38393391660324e-06,0.000466538000595795,0.0010878116862303,-2.98808834553707e-06,0.00035133735678049,0.000140491583735927,-0.000238036319923169,163.679891230585
"s2",0.00101106836340302,1.46912879600125e-07,0.000203236726320323,-4.81289797034132e-06,0.00051183255326283,0.00119345628174442,-3.27878281384121e-06,0.000385434843601472,0.000154040521230719,-0.000261063753324052,149.139020827265
"s3",0.00110916106648835,1.61343281642365e-07,0.000222907680066693,-5.28399637212208e-06,0.000561504154866976,0.00130931646149891,-3.59768873298305e-06,0.000422824750245364,0.000168880333101025,-0.000286299579749461,135.88992127311
"s4",0.00121671899990878,1.77202030564879e-07,0.000244467195980175,-5.80139903707564e-06,0.000615971619144977,0.00143637109711228,-3.94753046519741e-06,0.000463821586779501,0.000185130813894468,-0.000313951670266942,123.817835206252
"s5",0.0013346450031393,1.94632639129127e-07,0.000268093470108766,-6.36969523198134e-06,0.00067569300081113,0.0015756909985765,-4.3312922817828e-06,0.000508769212215372,0.00020292222814133,-0.000344246663506033,112.818199992557
"s6",0.00146392590475863,2.13793441829821e-07,0.000293980878122894,-6.99393644041332e-06,0.000741169092078091,0.00172844721475891,-4.75224294991785e-06,0.000558043435916117,0.000222396094089501,-0.000377431496105676,102.795742054114
"s7",0.0016056399033483,2.34859197056327e-07,0.000322341314843639,-7.67968429095856e-06,0.000812947205254888,0.00189591997295366,-5.21396216820138e-06,0.000612054817575912,0.000243705997864828,-0.000413775023420618,93.6636516550786
"s8",0.00176096450835626,2.58022873662438e-07,0.00035340561768642,-8.43306369436511e-06,0.000891625248361162,0.00207950832520986,-5.7203693195623e-06,0.000671251677980978,0.000267018433146754,-0.000453569727991158,85.342830997277
"s9",0.00193118506461718,2.83497644483044e-07,0.000387425073273162,-9.26082179176377e-06,0.000977856107706732,0.0022807405384171,-6.27575471625343e-06,0.000736123329084026,0.000292513659078523,-0.000497133510914656,77.7612091129149
