"iso2c","country","year","PRI","DEP","EMI","CON","GDP","OILp","OILs","REN","COA","iso3c","region","capital","longitude","latitude","income","lending"
"AE","United Arab Emirates",2018,12.3,-183.843970434642,0.536990348538365,11088.3502863794,68548.5147178225,0.49,1.24208972567247,0.23240111175667,0,"ARE","Middle East & North Africa","Abu Dhabi","54.3705","24.4764","High income","Not classified"
"AE","United Arab Emirates",2019,11,-183.843970434642,0.536990348538365,11088.3502863794,69900.8778476933,0.49,1.24208972567247,0.23240111175667,0,"ARE","Middle East & North Africa","Abu Dhabi","54.3705","24.4764","High income","Not classified"
"AE","United Arab Emirates",2017,12.2,-183.843970434642,0.536990348538365,11088.3502863794,67183.6265568253,0.49,1.24208972567247,0.23240111175667,0,"ARE","Middle East & North Africa","Abu Dhabi","54.3705","24.4764","High income","Not classified"
"AE","United Arab Emirates",2016,11.7,-183.843970434642,0.536990348538365,11088.3502863794,63968.853871334,0.49,1.24208972567247,0.23240111175667,0,"ARE","Middle East & North Africa","Abu Dhabi","54.3705","24.4764","High income","Not classified"
"AE","United Arab Emirates",2015,10.6,-183.843970434642,0.522424085424699,11088.3502863794,64901.8520246431,0.49,1.24208972567247,0.23240111175667,0,"ARE","Middle East & North Africa","Abu Dhabi","54.3705","24.4764","High income","Not classified"
"AF","Afghanistan",2019,17.6,28.4431904688585,0.429193973326314,306.854834789436,2293.55168387905,0.7,16.1515993862578,1.88268443272749,21.3134700261499,"AFG","South Asia","Kabul","69.1761","34.5228","Low income","IDA"
"AF","Afghanistan",2018,18.6,28.4431904688585,0.429193973326314,306.854834789436,2241.92324554494,0.7,16.1515993862578,1.88268443272749,21.3134700261499,"AFG","South Asia","Kabul","69.1761","34.5228","Low income","IDA"
"AF","Afghanistan",2016,22,28.4431904688585,0.429193973326314,306.854834789436,2128.98802616095,0.7,16.1515993862578,1.88268443272749,21.3134700261499,"AFG","South Asia","Kabul","69.1761","34.5228","Low income","IDA"
"AF","Afghanistan",2017,20.9,28.4431904688585,0.429193973326314,306.854834789436,2202.5708512665,0.7,16.1515993862578,1.88268443272749,21.3134700261499,"AFG","South Asia","Kabul","69.1761","34.5228","Low income","IDA"
"AF","Afghanistan",2015,23.3,28.4431904688585,0.45726745893109,306.854834789436,2087.30532306683,0.7,16.1515993862578,1.88268443272749,21.3134700261499,"AFG","South Asia","Kabul","69.1761","34.5228","Low income","IDA"
"AG","Antigua and Barbuda",2018,43.2,2.61226378821593,0.423665710960014,8906.25709807108,21614.066057539,1.34480392156863,26.9468480932919,9.6333309156024,4.65334720730921,"ATG","Latin America & Caribbean","Saint John's","-61.8456","17.1175","High income","IBRD"
